,airports,cities,countries,airports - cities
1484,Asheville Regional Airport,Asheville,US,Asheville Regional Airport - Asheville
1485,Wilkes Barre Scranton International Airport,Wilkes-Barre/Scranton,US,Wilkes Barre Scranton International Airport - Wilkes-Barre/Scranton
1486,Chandler Field,Alexandria,US,Chandler Field - Alexandria
1487,Kalamazoo Battle Creek International Airport,Kalamazoo,US,Kalamazoo Battle Creek International Airport - Kalamazoo
1488,Beale Air Force Base,Marysville,US,Beale Air Force Base - Marysville
1489,Barksdale Air Force Base,Bossier City,US,Barksdale Air Force Base - Bossier City
1490,Westfield-Barnes Regional Airport,Westfield/Springfield,US,Westfield-Barnes Regional Airport - Westfield/Springfield
1491,Columbus Municipal Airport,Columbus,US,Columbus Municipal Airport - Columbus
1492,Curtis Field,Brady,US,Curtis Field - Brady
1493,Bryce Canyon Airport,Bryce Canyon,US,Bryce Canyon Airport - Bryce Canyon
1494,Baudette International Airport,Baudette,US,Baudette International Airport - Baudette
1495,Bradley International Airport,Hartford,US,Bradley International Airport - Hartford
1496,Igor I Sikorsky Memorial Airport,Bridgeport,US,Igor I Sikorsky Memorial Airport - Bridgeport
1497,Laurence G Hanscom Field,Bedford,US,Laurence G Hanscom Field - Bedford
1498,Bradford Regional Airport,Bradford,US,Bradford Regional Airport - Bradford
1499,Western Neb. Rgnl/William B. Heilig Airport,Scottsbluff,US,Western Neb. Rgnl/William B. Heilig Airport - Scottsbluff
1500,Boeing Field King County International Airport,Seattle,US,Boeing Field King County International Airport - Seattle
1501,Meadows Field,Bakersfield,US,Meadows Field - Bakersfield
1502,Mobile Downtown Airport,Mobile,US,Mobile Downtown Airport - Mobile
1503,Greater Binghamton/Edwin A Link field,Binghamton,US,Greater Binghamton/Edwin A Link field - Binghamton
1504,Bangor International Airport,Bangor,US,Bangor International Airport - Bangor
1505,Hancock County-Bar Harbor Airport,Bar Harbor,US,Hancock County-Bar Harbor Airport - Bar Harbor
1506,Birmingham-Shuttlesworth International Airport,Birmingham,US,Birmingham-Shuttlesworth International Airport - Birmingham
1507,Biggs Army Air Field (Fort Bliss),Fort Bliss/El Paso,US,Biggs Army Air Field (Fort Bliss) - Fort Bliss/El Paso
1508,Eastern Sierra Regional Airport,Bishop,US,Eastern Sierra Regional Airport - Bishop
1509,Billings Logan International Airport,Billings,US,Billings Logan International Airport - Billings
1510,Bismarck Municipal Airport,Bismarck,US,Bismarck Municipal Airport - Bismarck
1511,Keesler Air Force Base,Biloxi,US,Keesler Air Force Base - Biloxi
1512,Rocky Mountain Metropolitan Airport,Denver,US,Rocky Mountain Metropolitan Airport - Denver
1513,Bemidji Regional Airport,Bemidji,US,Bemidji Regional Airport - Bemidji
1514,Baker City Municipal Airport,Baker City,US,Baker City Municipal Airport - Baker City
1515,Buckley Space Force Base,Aurora,US,Buckley Space Force Base - Aurora
1516,Burke Lakefront Airport,Cleveland,US,Burke Lakefront Airport - Cleveland
1517,Raleigh County Memorial Airport,Beckley,US,Raleigh County Memorial Airport - Beckley
1518,Mercer County Airport,Bluefield,US,Mercer County Airport - Bluefield
1519,Blythe Airport,Blythe,US,Blythe Airport - Blythe
1520,Bellingham International Airport,Bellingham,US,Bellingham International Airport - Bellingham
1521,Scott AFB/Midamerica Airport,Belleville,US,Scott AFB/Midamerica Airport - Belleville
1522,Monroe County Airport,Bloomington,US,Monroe County Airport - Bloomington
1523,Central Illinois Regional Airport at Bloomington-Normal,Bloomington/Normal,US,Central Illinois Regional Airport at Bloomington-Normal - Bloomington/Normal
1524,Nashville International Airport,Nashville,US,Nashville International Airport - Nashville
1525,Burns Municipal Airport,Burns,US,Burns Municipal Airport - Burns
1526,Boise Air Terminal/Gowen Field,Boise,US,Boise Air Terminal/Gowen Field - Boise
1527,Logan International Airport,Boston,US,Logan International Airport - Boston
1528,Miley Memorial Field,Big Piney,US,Miley Memorial Field - Big Piney
1529,Ozark Regional Airport,Mountain Home,US,Ozark Regional Airport - Mountain Home
1530,Jack Brooks Regional Airport,Beaumont/Port Arthur,US,Jack Brooks Regional Airport - Beaumont/Port Arthur
1531,Brunswick Golden Isles Airport,Brunswick,US,Brunswick Golden Isles Airport - Brunswick
1532,Brainerd Lakes Regional Airport,Brainerd,US,Brainerd Lakes Regional Airport - Brainerd
1533,Southeast Iowa Regional Airport,Burlington,US,Southeast Iowa Regional Airport - Burlington
1534,Brownsville South Padre Island International Airport,Brownsville,US,Brownsville South Padre Island International Airport - Brownsville
1535,Battle Creek Executive Airport at Kellogg Field,Battle Creek,US,Battle Creek Executive Airport at Kellogg Field - Battle Creek
1536,Bert Mooney Airport,Butte,US,Bert Mooney Airport - Butte
1537,Baton Rouge Metropolitan Airport,Baton Rouge,US,Baton Rouge Metropolitan Airport - Baton Rouge
1538,Burlington International Airport,South Burlington,US,Burlington International Airport - South Burlington
1539,Buffalo Niagara International Airport,Buffalo,US,Buffalo Niagara International Airport - Buffalo
1540,Bob Hope Airport,Burbank,US,Bob Hope Airport - Burbank
1541,Beaver County Airport,Beaver Falls,US,Beaver County Airport - Beaver Falls
1542,Beverly Regional Airport,Beverly / Danvers,US,Beverly Regional Airport - Beverly / Danvers
1543,Bowling Green Warren County Regional Airport,Bowling Green,US,Bowling Green Warren County Regional Airport - Bowling Green
1544,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,US,Baltimore/Washington International Thurgood Marshall Airport - Baltimore
1545,Arkansas International Airport,Blytheville,US,Arkansas International Airport - Blytheville
1546,Burley Municipal Airport,Burley,US,Burley Municipal Airport - Burley
1547,Bicycle Lake Army Air Field,Fort Irwin/Barstow,US,Bicycle Lake Army Air Field - Fort Irwin/Barstow
1548,Gallatin Field,Bozeman,US,Gallatin Field - Bozeman
1549,Columbia Metropolitan Airport,Columbia,US,Columbia Metropolitan Airport - Columbia
1550,Akron Canton Regional Airport,Akron,US,Akron Canton Regional Airport - Akron
1551,Caribou Municipal Airport,Caribou,US,Caribou Municipal Airport - Caribou
1552,Columbus Air Force Base,Columbus,US,Columbus Air Force Base - Columbus
1553,Northeast Iowa Regional Airport,Charles City,US,Northeast Iowa Regional Airport - Charles City
1554,Cedar City Regional Airport,Cedar City,US,Cedar City Regional Airport - Cedar City
1555,Chadron Municipal Airport,Chadron,US,Chadron Municipal Airport - Chadron
1556,Childress Municipal Airport,Childress,US,Childress Municipal Airport - Childress
1557,Jack Mc Namara Field Airport,Crescent City,US,Jack Mc Namara Field Airport - Crescent City
1558,Westover ARB/Metropolitan Airport,Springfield/Chicopee,US,Westover ARB/Metropolitan Airport - Springfield/Chicopee
1559,Bob Sikes Airport,Crestview,US,Bob Sikes Airport - Crestview
1560,Cuyahoga County Airport,Cleveland,US,Cuyahoga County Airport - Cleveland
1561,Cape Girardeau Regional Airport,Cape Girardeau,US,Cape Girardeau Regional Airport - Cape Girardeau
1562,Chattanooga Metropolitan Airport (Lovell Field),Chattanooga,US,Chattanooga Metropolitan Airport (Lovell Field) - Chattanooga
1563,Charlottesville Albemarle Airport,Charlottesville,US,Charlottesville Albemarle Airport - Charlottesville
1564,Charleston International Airport,Charleston,US,Charleston International Airport - Charleston
1565,The Eastern Iowa Airport,Cedar Rapids,US,The Eastern Iowa Airport - Cedar Rapids
1566,Chippewa County International Airport,Sault Ste Marie,US,Chippewa County International Airport - Sault Ste Marie
1567,North Central West Virginia Airport,Clarksburg,US,North Central West Virginia Airport - Clarksburg
1568,Cleveland Hopkins International Airport,Cleveland,US,Cleveland Hopkins International Airport - Cleveland
1569,Easterwood Field,College Station,US,Easterwood Field - College Station
1570,William R Fairchild International Airport,Port Angeles,US,William R Fairchild International Airport - Port Angeles
1571,Charlotte Douglas International Airport,Charlotte,US,Charlotte Douglas International Airport - Charlotte
1572,Camarillo International Airport,Camarillo,US,Camarillo International Airport - Camarillo
1573,John Glenn Columbus International Airport,Columbus,US,John Glenn Columbus International Airport - Columbus
1574,University of Illinois Willard Airport,Savoy,US,University of Illinois Willard Airport - Savoy
1575,Houghton County Memorial Airport,Hancock,US,Houghton County Memorial Airport - Hancock
1576,Cavern City Air Terminal,Carlsbad,US,Cavern City Air Terminal - Carlsbad
1577,Chanute Martin Johnson Airport,Chanute,US,Chanute Martin Johnson Airport - Chanute
1578,Yellowstone Regional Airport,Cody,US,Yellowstone Regional Airport - Cody
1579,Coeur D'Alene - Pappy Boyington Field,Coeur d'Alene,US,Coeur D'Alene - Pappy Boyington Field - Coeur d'Alene
1580,Patrick Air Force Base,Cocoa Beach,US,Patrick Air Force Base - Cocoa Beach
1581,Concord Municipal Airport,Concord,US,Concord Municipal Airport - Concord
1582,City of Colorado Springs Municipal Airport,Colorado Springs,US,City of Colorado Springs Municipal Airport - Colorado Springs
1583,Columbia Regional Airport,Columbia,US,Columbia Regional Airport - Columbia
1584,Wendell H Ford Airport,Hazard,US,Wendell H Ford Airport - Hazard
1585,Casper-Natrona County International Airport,Casper,US,Casper-Natrona County International Airport - Casper
1586,Grand Strand Airport,North Myrtle Beach,US,Grand Strand Airport - North Myrtle Beach
1587,Jacksonville Executive at Craig Airport,Jacksonville,US,Jacksonville Executive at Craig Airport - Jacksonville
1588,Corpus Christi International Airport,Corpus Christi,US,Corpus Christi International Airport - Corpus Christi
1589,McClellan-Palomar Airport,Carlsbad,US,McClellan-Palomar Airport - Carlsbad
1590,Yeager Airport,Charleston,US,Yeager Airport - Charleston
1591,Columbus Metropolitan Airport,Columbus,US,Columbus Metropolitan Airport - Columbus
1592,Crossville Memorial Whitson Field,Crossville,US,Crossville Memorial Whitson Field - Crossville
1593,Cut Bank International Airport,Cut Bank,US,Cut Bank International Airport - Cut Bank
1594,Jim Hamilton L.B. Owens Airport,Columbia,US,Jim Hamilton L.B. Owens Airport - Columbia
1595,Cincinnati Northern Kentucky International Airport,Cincinnati / Covington,US,Cincinnati Northern Kentucky International Airport - Cincinnati / Covington
1596,Corvallis Municipal Airport,Corvallis,US,Corvallis Municipal Airport - Corvallis
1597,Cannon Air Force Base,Clovis,US,Cannon Air Force Base - Clovis
1598,Central Wisconsin Airport,Mosinee,US,Central Wisconsin Airport - Mosinee
1599,Conroe-North Houston Regional Airport,Houston,US,Conroe-North Houston Regional Airport - Houston
1600,Cheyenne Regional Jerry Olson Field,Cheyenne,US,Cheyenne Regional Jerry Olson Field - Cheyenne
1601,Davison Army Air Field,Fort Belvoir,US,Davison Army Air Field - Fort Belvoir
1602,Daytona Beach International Airport,Daytona Beach,US,Daytona Beach International Airport - Daytona Beach
1603,Barstow Daggett Airport,Daggett,US,Barstow Daggett Airport - Daggett
1604,Dallas Love Field,Dallas,US,Dallas Love Field - Dallas
1605,Danville Regional Airport,Danville,US,Danville Regional Airport - Danville
1606,James M Cox Dayton International Airport,Dayton,US,James M Cox Dayton International Airport - Dayton
1607,Dubuque Regional Airport,Dubuque,US,Dubuque Regional Airport - Dubuque
1608,Ronald Reagan Washington National Airport,Washington,US,Ronald Reagan Washington National Airport - Washington
1609,Dodge City Regional Airport,Dodge City,US,Dodge City Regional Airport - Dodge City
1610,Decatur Airport,Decatur,US,Decatur Airport - Decatur
1611,Denver International Airport,Denver,US,Denver International Airport - Denver
1612,Coleman A. Young Municipal Airport,Detroit,US,Coleman A. Young Municipal Airport - Detroit
1613,Dallas Fort Worth International Airport,Dallas-Fort Worth,US,Dallas Fort Worth International Airport - Dallas-Fort Worth
1614,Dothan Regional Airport,Dothan,US,Dothan Regional Airport - Dothan
1615,Dalhart Municipal Airport,Dalhart,US,Dalhart Municipal Airport - Dalhart
1616,Dickinson Theodore Roosevelt Regional Airport,Dickinson,US,Dickinson Theodore Roosevelt Regional Airport - Dickinson
1617,Laughlin Air Force Base,Del Rio,US,Laughlin Air Force Base - Del Rio
1618,Duluth International Airport,Duluth,US,Duluth International Airport - Duluth
1619,Columbia Gorge Regional Airport,Dallesport / The Dalles,US,Columbia Gorge Regional Airport - Dallesport / The Dalles
1620,Davis Monthan Air Force Base,Tucson,US,Davis Monthan Air Force Base - Tucson
1621,Deming Municipal Airport,Deming,US,Deming Municipal Airport - Deming
1622,Daniel Field,Augusta,US,Daniel Field - Augusta
1623,Dover Air Force Base,Dover,US,Dover Air Force Base - Dover
1624,Dupage Airport,Chicago/West Chicago,US,Dupage Airport - Chicago/West Chicago
1625,Desert Rock Airport,Mercury,US,Desert Rock Airport - Mercury
1626,Beauregard Regional Airport,DeRidder,US,Beauregard Regional Airport - DeRidder
1627,Del Rio International Airport,Del Rio,US,Del Rio International Airport - Del Rio
1628,Des Moines International Airport,Des Moines,US,Des Moines International Airport - Des Moines
1629,Detroit Metropolitan Wayne County Airport,Detroit,US,Detroit Metropolitan Wayne County Airport - Detroit
1630,Bisbee Douglas International Airport,Douglas Bisbee,US,Bisbee Douglas International Airport - Douglas Bisbee
1631,DuBois Regional Airport,Dubois,US,DuBois Regional Airport - Dubois
1632,Dyess Air Force Base,Abilene,US,Dyess Air Force Base - Abilene
1633,Laikipia Air Base,Nanyuki,KE,Laikipia Air Base - Nanyuki
1634,Kearney Regional Airport,Kearney,US,Kearney Regional Airport - Kearney
1635,Pangborn Memorial Airport,Wenatchee,US,Pangborn Memorial Airport - Wenatchee
1636,Chippewa Valley Regional Airport,Eau Claire,US,Chippewa Valley Regional Airport - Eau Claire
1637,Elizabeth City Regional Airport & Coast Guard Air Station,Elizabeth City,US,Elizabeth City Regional Airport & Coast Guard Air Station - Elizabeth City
1638,Northwest Florida Beaches International Airport,Panama City Beach,US,Northwest Florida Beaches International Airport - Panama City Beach
1639,Edwards Air Force Base,Edwards,US,Edwards Air Force Base - Edwards
1640,Needles Airport,Needles,US,Needles Airport - Needles
1641,Dillant Hopkins Airport,Keene,US,Dillant Hopkins Airport - Keene
1642,Shelby County Airport,Alabaster,US,Shelby County Airport - Alabaster
1643,Ellington Airport,Houston,US,Ellington Airport - Houston
1644,Eagle County Regional Airport,Eagle,US,Eagle County Regional Airport - Eagle
1645,Duke Field,Crestview,US,Duke Field - Crestview
1646,Murray Field,Eureka,US,Murray Field - Eureka
1647,Elkins-Randolph County Regional Airport,Elkins,US,Elkins-Randolph County Regional Airport - Elkins
1648,Elko Regional Airport,Elko,US,Elko Regional Airport - Elko
1649,South Arkansas Regional At Goodwin Field,El Dorado,US,South Arkansas Regional At Goodwin Field - El Dorado
1650,Elmira Corning Regional Airport,Elmira/Corning,US,Elmira Corning Regional Airport - Elmira/Corning
1651,Ely Municipal Airport,Ely,US,Ely Municipal Airport - Ely
1652,El Paso International Airport,El Paso,US,El Paso International Airport - El Paso
1653,Ely Airport Yelland Field,Ely,US,Ely Airport Yelland Field - Ely
1654,Vance Air Force Base,Enid,US,Vance Air Force Base - Enid
1655,Wendover Airport,Wendover,US,Wendover Airport - Wendover
1656,Kenosha Regional Airport,Kenosha,US,Kenosha Regional Airport - Kenosha
1657,Erie International Tom Ridge Field,Erie,US,Erie International Tom Ridge Field - Erie
1658,Esler Army Airfield / Esler Regional Airport,Alexandria,US,Esler Army Airfield / Esler Regional Airport - Alexandria
1659,Mahlon Sweet Field,Eugene,US,Mahlon Sweet Field - Eugene
1660,Evansville Regional Airport,Evansville,US,Evansville Regional Airport - Evansville
1661,Evanston-Uinta County Airport-Burns Field,Evanston,US,Evanston-Uinta County Airport-Burns Field - Evanston
1662,New Bedford Regional Airport,New Bedford,US,New Bedford Regional Airport - New Bedford
1663,Coastal Carolina Regional Airport,New Bern,US,Coastal Carolina Regional Airport - New Bern
1664,Newark Liberty International Airport,New York,US,Newark Liberty International Airport - New York
1665,Key West International Airport,Key West,US,Key West International Airport - Key West
1666,Felker Army Air Field,Fort Eustis,US,Felker Army Air Field - Fort Eustis
1667,Hector International Airport,Fargo,US,Hector International Airport - Fargo
1668,Fresno Yosemite International Airport,Fresno,US,Fresno Yosemite International Airport - Fresno
1669,Fayetteville Regional Airport - Grannis Field,Fayetteville,US,Fayetteville Regional Airport - Grannis Field - Fayetteville
1670,Simmons Army Air Field,Fort Bragg,US,Simmons Army Air Field - Fort Bragg
1671,Butts AAF (Fort Carson) Air Field,Fort Carson,US,Butts AAF (Fort Carson) Air Field - Fort Carson
1672,Findlay Airport,Findlay,US,Findlay Airport - Findlay
1673,Wright-Patterson Air Force Base,Dayton,US,Wright-Patterson Air Force Base - Dayton
1674,Sierra Vista Municipal Airport / Libby Army Air Field,Fort Huachuca / Sierra Vista,US,Sierra Vista Municipal Airport / Libby Army Air Field - Fort Huachuca / Sierra Vista
1675,Venango Regional Airport,Franklin,US,Venango Regional Airport - Franklin
1676,Flagstaff Pulliam International Airport,Flagstaff,US,Flagstaff Pulliam International Airport - Flagstaff
1677,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,US,Fort Lauderdale Hollywood International Airport - Fort Lauderdale
1678,Florence Regional Airport,Florence,US,Florence Regional Airport - Florence
1679,Tipton Airport,Fort Meade(Odenton),US,Tipton Airport - Fort Meade(Odenton)
1680,Four Corners Regional Airport,Farmington,US,Four Corners Regional Airport - Farmington
1681,Page Field,Fort Myers,US,Page Field - Fort Myers
1682,Bishop International Airport,Flint,US,Bishop International Airport - Flint
1683,Fort Dodge Regional Airport,Fort Dodge,US,Fort Dodge Regional Airport - Fort Dodge
1684,Topeka Regional Airport,Topeka,US,Topeka Regional Airport - Topeka
1685,St Lucie County International Airport,Fort Pierce,US,St Lucie County International Airport - Fort Pierce
1686,Republic Airport,Farmingdale,US,Republic Airport - Farmingdale
1687,Marshall Army Air Field,Fort Riley (Junction City),US,Marshall Army Air Field - Fort Riley (Junction City)
1688,Sioux Falls Regional Airport / Joe Foss Field,Sioux Falls,US,Sioux Falls Regional Airport / Joe Foss Field - Sioux Falls
1689,Henry Post Army Air Field (Fort Sill),Fort Sill,US,Henry Post Army Air Field (Fort Sill) - Fort Sill
1690,Fort Smith Regional Airport,Fort Smith,US,Fort Smith Regional Airport - Fort Smith
1691,Fort Stockton Pecos County Airport,Fort Stockton,US,Fort Stockton Pecos County Airport - Fort Stockton
